provider_name,domain_bucket,layer,name,real_world_capability,verb,access_pattern,endpoint_or_repo,maturity_status,source_pass,notes
ONDC (Open Network for Digital Commerce),commerce_logistics,protocol,search / on_search,Discover any seller/provider offering X across the whole network from one query,discover,spec_only,https://github.com/ONDC-Official/ONDC-Protocol-Specs,active_maintained,v1,"Core transaction grammar, domain-agnostic."
ONDC (Open Network for Digital Commerce),commerce_logistics,protocol,select / on_select,Provisionally construct an order and get a live quote back,quote,spec_only,https://github.com/ONDC-Official/ONDC-Protocol-Specs,active_maintained,v1,
ONDC (Open Network for Digital Commerce),commerce_logistics,protocol,init / confirm,"Lock in terms and place an order, triggering fulfilment",commit,spec_only,https://github.com/ONDC-Official/ONDC-Protocol-Specs,active_maintained,v1,
ONDC (Open Network for Digital Commerce),commerce_logistics,protocol,status / track,Pull current order state and live fulfilment/shipment tracking,track,spec_only,https://github.com/ONDC-Official/ONDC-Protocol-Specs,active_maintained,v1,
ONDC (Open Network for Digital Commerce),commerce_logistics,protocol,update / cancel,Modify or cancel an order post-confirm,modify,spec_only,https://github.com/ONDC-Official/ONDC-Protocol-Specs,active_maintained,v1,
ONDC (Open Network for Digital Commerce),commerce_logistics,protocol,rating / support,Rate a completed transaction; escalate to order-specific support,evaluate,spec_only,https://github.com/ONDC-Official/ONDC-Protocol-Specs,active_maintained,v1,
ONDC (Open Network for Digital Commerce),commerce_logistics,product,Retail domains (RET10-15),"Discover/order groceries, food, fashion, electronics, home goods, beauty products across any listed seller",transact,reference_app,https://github.com/ONDC-Official/ondc-sdk,active_maintained,v1,Production-live.
ONDC (Open Network for Digital Commerce),commerce_logistics,product,Logistics (LOG),"Book courier/freight capacity from any listed logistics provider, domestic and international, B2B",ship,reference_app,https://github.com/ONDC-Official/ref-logistics-app-sdk,active_maintained,v1,
ONDC (Open Network for Digital Commerce),mobility_transport,product,Ride hailing (TRV10),"Book any listed cab/auto from one interface, no app-switching",travel,reference_app,https://ondc-official.github.io/mobility-specification/,active_maintained,v1,
ONDC (Open Network for Digital Commerce),mobility_transport,product,Metro/bus unreserved (TRV11),Discover and buy transit tickets city-wide from one interface,travel,reference_app,https://ondc-official.github.io/mobility-specification/,active_maintained,v1,
ONDC (Open Network for Digital Commerce),mobility_transport,product,Intercity bus / airline / hotel / heritage entry (TRV12-14),"Cross-operator discovery/booking for intercity bus, airlines, hotels, heritage/museum entry",travel,spec_only,https://ondc-official.github.io/mobility-specification/,draft_or_early_stage,v1,Draft-stage beyond ride-hailing.
ONDC (Open Network for Digital Commerce),payments_finance,product,Financial Services (FIS),"Discover/apply for credit, insurance and other financial products across listed NBFCs/insurers from one interface",compare,spec_only,https://ondc-official.github.io/ONDC-FIS-Specifications/,draft_or_early_stage,v1,Mostly draft-stage.
ONDC (Open Network for Digital Commerce),commerce_logistics,core_service,IGM (Issue & Grievance Mgmt),Standardised dispute-resolution protocol between any two network participants,dispute,spec_only,https://github.com/ONDC-Official,active_maintained,v1,
ONDC (Open Network for Digital Commerce),commerce_logistics,core_service,RSF (Reconciliation & Settlement),Standardised ledger of what is owed between network participants post-transaction,reconcile,spec_only,https://github.com/ONDC-Official,active_maintained,v1,
eGov Foundation / DIGIT,civic_governance_process,core_service,Workflow Service,"Model any multi-step approval/application process generically, config-driven, no code per new process",process,api,https://core.digit.org/platform/core-services/workflow-service,active_maintained,v1,The reusable pattern — a universal process-modelling grammar.
eGov Foundation / DIGIT,civic_governance_process,core_service,Registries (Individual/Property/HRMS/Boundary),"Authoritative, real-time, consent-gated lookup of a person/asset/place as single source of truth",lookup,api,https://docs.digit.org,active_maintained,v1,
eGov Foundation / DIGIT,civic_governance_process,core_service,Notification Service,"Trigger SMS/email at any workflow state transition, localized",notify,api,https://docs.digit.org,active_maintained,v1,
eGov Foundation / DIGIT,civic_governance_process,core_service,HRMS,"Manage government staff: create, assign role/jurisdiction, deactivate, reused across every module",administer,api,https://docs.digit.org/local-governance/access/local-governance-stack/hrms,active_maintained,v1,"egov-hrms/employees/_create, /_search endpoints documented."
